word,count
b'\x83\xc8\xf1R\xa0\x96\xc2\xe4',1
b'krad0127',1
b'France1998',1
b'FIFA98',1
b'22',413
b'amoroe13',1
b'\xb0l\xb1\xed\xc2\x95\xc3\xf7',1
b'Verola',23
b'\xeaP\xec\xb6',34
b'Modric',5
b'\x82\xce\xd7C',1
b'\xd5f\xb7\xa8',2
b'\xe1\x8d',1
b'\xc7\xe5',2
b'sillycee',4
b'82',6
b'Corluka',1
b'\xcd\xea',26
b'\xdf@\x8c\xc3',62
b'\xbe\xcd\xd2\xaa',5
b'\xbdY\xbb\xe9',1
b'dro001',8
b'\xd5\x88',79
b'\x86\x96\xb1\xbe\x8c\xc3',1
b'\xd3\xd0',476
b'\xbb\xf2',33
b'\xcd\xc6\xcb]',15
b'\xd9\x90\xe1\xe1\xd4u',3
b'\xd5\x93',7
b'\xb1\xed\xb0\xd7',1
b'\xc4\xb7\xb0\xcd',59
b'\xc5\xe5',22
b'\xcc\xd8\xca\xe2',1
b'\xb8\xd0\xc7\xe9',2
b'\xc7\xf2\xd0\xc7',48
b'\xe4\x9b\xd3\xb0',2
b'\xdft\xb5\xbd',1
b'70',18
b'\xb7\xd6\xe7\x8a',35
b'\x88F\xea\xa0',7
b'\xb1\xac\xb4\xd6',2
b'\xbf\xda\xc8\xc7\xd7h',1
b'kobilly',17
b'\xb9\xda\x81\x86',5
b'\xbb\xd8\xe0l',1
b'\xca\xa2\x9br',2
b'\xc0\xee\xcb\xc4',4
b'\xb6\xcb\xb5\xc4',4
b'\xeb\x85\xb6\xcb',4
b'Lingetals',1
b'\xb1\xa9\x84\xd3',8
b'\xd0\xa1\xd8\x88',2
b'\xc8\xe7\xba\xce',71
b'\xb2\xdf\x84\x9d\xc1\xee',1
b'\xc6\xd5\xbe\xa9',8
b'\x8c\xc0\xde\xce',10
b'\xca\xc0\xbd\xe7\xb1\xad',105
b'61',27
b'IOP14759',3
b'kk999999',109
b'\xb3\xac\xc3\xcd\xe9T',1
b'\x8c\xa2\xbb\xd8',2
b'\xedn\x87\xf8\xd7\x83',1
b'\xb7\xb2\xc8\xcb',1
b'\xca\xd6\xc7\xf2',48
b'\xb3\xd4\xbct\xc5\xc6',2
b'lamer',5
b'hisaken',7
b'\xb5\xc2\x87\xf8\xd7\xe3\xc3\xcb',1
b'\xf1g\xb3\xe2',1
b'\xfdR\xa0\x96\xb7N',1
b'\xd6\xb8\xbf\xd8',2
b'ttomoee',4
b'X2',85
b'\xb5\xc2\x87\xf8\xd7\xe3',2
b'\x85f\xc2\x95',1
b'\xc3\xf7\xb8\xe5',1
b'\xcd\xcb\xea\xa0',4
b'\xd2\xbb\xca\xc2',1
b'evilcherry',62
b'36',55
b'ck326',85
b'\xb3\xac\xfd\x8b',1
b'\xb4\xf3\xbc\xd2\xd7\xe5',1
b'17',480
b'\xc8\xcb\xbc\xaf\xf3w',1
b'\xc2\xc3\xd0\xd0',1
b'\xbe\xdb\xb2\xcd',1
b'\xaa\x9a\xc8\xb1',1
b'\xd0\xa1',50
b'\xd7\xe3\xc7\xf2\xc3\xf7\xd0\xc7',5
b'\xb3\xb0\xc5\xaa',4
b'\xb8\xe3\xd0\xa6',13
b'\xcf\xc2\xc1\xee',3
b'\xb2\xbb\xca\xc7',41
b'\xc9\xcf\xc9\xed',3
b'\x83r',2
b'\xd7\xee\xb8\xdf',13
b'maylong0928',1
b'\xd5\x88\x86\x96',46
b'\xcd\xea\xd5\xfb',4
b'\xb1\xc8\xd9\x90',141
b'\xc4\xdc\xb7\xf1',8
b'\xca\xd5\xb2\xd8',2
b'\x88\xcc\xbd\xcc',6
b'\xc4\xdc\xc1\xa6',9
b'\xb1\xc8\xdd^',32
b'\xb5\xc2\xc9\xd0',6
b'\xc0\xd5\xb7\xf2',23
b'\xc0\xad\xb6\xc8\xbc{',21
b'\xcf\xaf\xb5\xa4',8
b'\xc4\xea\xb6\xc8',3
b'\xe9T\x8c\xa2',70
b'\xca\xa7\xd5`',6
b'\xbc\xaf',1
b'\xbf\xcb\x87\xf8',18
b'\xbd\xcc\xbe\x9a',48
b'Dalic',1
b'\xb4_\xb6\xa8',17
b'\xc1\xf4\xc8\xce',5
b'tontontonni',12
b'53',24
b'\xd7\xee',170
b'\xbe\xab\xb2\xca',28
b'\xc7\xf2\xd9\x90',12
b'\xc4\xc4',60
b'\x8e\xd7\x88\xf6',7
b'\xd4\xe2\xc7\xf2\xea\xa0',1
b'\xe9_\xb3\xfd',7
b'\xab@\xca\xc0\xd7\xe3\xd9\x90',1
b'\xe3y\xc5\xc6',2
b'\xbf\xcb\xc1_\xb0\xa3\xce\xf7\x81\x86',119
b'cgi0911',27
b'peilovepapa',1
b'\x83\xc9',8
b'\xbd\xcc',9
b'SP500',11
b'\xd6\xbb',36
b'\xd9\x90\x88\xf6',3
b'\xc9\xf1\xd3\xc2',1
b'\xc5\xe0\xf0B',3
b'\xd2\xb2',96
b'PrinceBamboo',38
b'\xb2\xbb\xb9\xd6',1
b'\xc0\xad\xb6\xc8',15
b'\xbc{\xc5\xad',3
b'\xdeZ',11
b'\x9b]\xc8\xcb\xc4\xdc',1
b'\x82\xf7\xc7\xf2',13
b'\x9b]',205
b'\xd9Y\xb8\xf1\xeeI',1
b'\xc7\xb0\xe4h',29
b'\xcd\xcb\xbb\xd8',1
b'HIKONA',6
b'85',17
b'\x87\xf8\xebH',17
b'\xb9\xda\xdc\x8a\xb1\xad',2
b'\xe9_',32
b'\xb5\xc2\xb7\xa8',5
